Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/orders?user_id=2726,3,0,26000.0,25724.743866667268,12849.463200000173,38077.80450000064,6798.0,0.01964747155438677,0.0,26000,26000,38000,38000,38000,38000,38000,38000,38000,38000,38000
PUT,/orders?user_id=274&order_date=2022-04-11+19%3A39%3A54,1,0,24194.832000001043,24194.832000001043,24194.832000001043,24194.832000001043,4.0,0.00654915718479559,0.0,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000
PUT,/orders?user_id=2745&order_date=2022-04-11+19%3A39%3A10,1,0,7933.375500000693,7933.375500000693,7933.375500000693,7933.375500000693,4.0,0.00654915718479559,0.0,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
PUT,/orders?user_id=2745&order_date=2022-04-11+19%3A39%3A42,1,0,15009.431700000277,15009.431700000277,15009.431700000277,15009.431700000277,4.0,0.00654915718479559,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
PUT,/orders?user_id=2762&order_date=2022-04-11+19%3A39%3A21,1,0,9450.361600000178,9450.361600000178,9450.361600000178,9450.361600000178,4.0,0.00654915718479559,0.0,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
PUT,/orders?user_id=2764&order_date=2022-04-11+19%3A39%3A48,1,0,41388.26759999938,41388.26759999938,41388.26759999938,41388.26759999938,4.0,0.00654915718479559,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
PUT,/orders?user_id=2788&order_date=2022-04-11+19%3A41%3A05,1,0,19023.886699997092,19023.886699997092,19023.886699997092,19023.886699997092,4.0,0.00654915718479559,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/orders?user_id=2794,2,0,18000.0,29301.229999999123,17755.922699998337,40846.53729999991,7720.0,0.01309831436959118,0.0,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
GET,/orders?user_id=2804,3,1,31000.0,26025.66169999894,3608.494199997949,43269.43229999961,11009.0,0.01964747155438677,0.00654915718479559,31000,31000,43000,43000,43000,43000,43000,43000,43000,43000,43000
PUT,/orders?user_id=2804&order_date=2022-04-11+19%3A39%3A17,1,0,6419.997799999692,6419.997799999692,6419.997799999692,6419.997799999692,4.0,0.00654915718479559,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
PUT,/orders?user_id=2810&order_date=2022-04-11+19%3A40%3A38,1,0,25011.163099999976,25011.163099999976,25011.163099999976,25011.163099999976,4.0,0.00654915718479559,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/orders?user_id=2823,2,0,23000.0,59490.59065000256,22989.143000002514,95992.0383000026,6526.0,0.01309831436959118,0.0,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000,96000
